1,,"Kobe Bryant
263,,"T.J. Warren
SMALL FORWARD","$1,953,120"
264,,"Maurice Harkless
POWER FORWARD","$1,887,840"
265,,"Giannis Antetokounmpo
POINT GUARD","$1,873,200"
266,,"Adreian Payne
POWER FORWARD","$1,855,320"
267,,"Jeff Ayres
POWER FORWARD","$1,828,750"
268,,"Jeremy Evans
SMALL FORWARD","$1,794,871"
269,,"Joffrey Lauvergne
POWER FORWARD","$1,790,281"
270,,"Reggie Evans
POWER FORWARD","$1,768,653"
271,,"Lucas Nogueira
CENTER","$1,762,680"
,,"Jusuf Nurkic
CENTER","$1,762,680"
273,,"Luigi Datome
SMALL FORWARD","$1,750,000"
274,,"Zoran Dragic
SHOOTING GUARD","$1,706,250"
275,,"Tyler Zeller
CENTER","$1,703,760"
276,,"Dennis Schröder
POINT GUARD","$1,690,680"
277,,"James Young
SHOOTING GUARD","$1,674,480"
278,,"Pablo Prigioni
POINT GUARD","$1,662,961"
279,,"Ryan Kelly
POWER FORWARD","$1,650,000"
280,,"Terrence Jones
POWER FORWARD","$1,618,680"
281,,"Shane Larkin
POINT GUARD","$1,606,080"
282,,"Tyler Ennis
POINT GUARD","$1,590,720"
283,,"Andrew Nicholson
POWER FORWARD","$1,545,840"
284,,"Sergey Karasev
SHOOTING GUARD","$1,533,840"
285,,"Gary Harris
SHOOTING GUARD","$1,519,200"
286,,"Ronny Turiaf
CENTER","$1,500,000"
287,,"Donatas Motiejunas
POWER FORWARD","$1,483,920"
,,"Evan Fournier
SHOOTING GUARD","$1,483,920"
289,,"Tony Snell
SMALL FORWARD","$1,472,400"
290,,"Bruno Caboclo
SMALL FORWARD","$1,458,360"
291,,"Willie Green
SMALL FORWARD","$1,448,490"
292,,"Jared Sullinger
POWER FORWARD","$1,424,520"
293,,"Gorgui Dieng
POWER FORWARD","$1,413,480"
294,,"Mitch McGary
POWER FORWARD","$1,400,040"
295,,"Mason Plumlee
CENTER","$1,357,080"
296,,"Jordan Adams
SHOOTING GUARD","$1,344,120"
297,,"John Jenkins
SHOOTING GUARD","$1,312,920"
298,,"Solomon Hill
SMALL FORWARD","$1,302,840"
299,,"Rodney Hood
SHOOTING GUARD","$1,290,360"
300,,"Alan Anderson
SHOOTING GUARD","$1,276,061"
301,,"Tim Hardaway Jr.
SHOOTING GUARD","$1,250,640"
302,,"Pero Antic
POWER FORWARD","$1,250,000"
303,,"Shabazz Napier
POINT GUARD","$1,238,640"
304,,"Shawne Williams
SMALL FORWARD","$1,227,985"
305,,"Tony Wroten Jr.
SHOOTING GUARD","$1,210,080"
306,,"Reggie Bullock
SMALL FORWARD","$1,200,720"
307,,"Clint Capela
CENTER","$1,189,200"
308,,"Miles Plumlee
CENTER","$1,169,880"
309,,"Andre Roberson
SHOOTING GUARD","$1,160,880"
310,,"P.J. Hairston
SHOOTING GUARD","$1,149,720"
311,,"Cartier Martin
POWER FORWARD","$1,145,686"
312,,"Brandon Rush
SHOOTING GUARD","$1,145,685"
313,,"Perry Jones III
SMALL FORWARD","$1,129,200"
314,,"Rudy Gobert
CENTER","$1,127,400"
315,,"Festus Ezeli
CENTER","$1,112,880"
316,,"Archie Goodwin
SHOOTING GUARD","$1,112,280"
317,,"C.J. Wilcox
SHOOTING GUARD","$1,109,760"
318,,"Damjan Rudez
SMALL FORWARD","$1,100,000"
319,,"Kyle Anderson
SMALL FORWARD","$1,093,680"
320,,"Kyle Singler
SMALL FORWARD","$1,090,000"
321,,"Robert Covington
SMALL FORWARD","$1,000,000"
322,,"Ed Davis
POWER FORWARD","$981,084"
,,"Garrett Temple
SHOOTING GUARD","$981,084"
,,"Alexis Ajinca
CENTER","$981,084"
,,"Al-Farouq Aminu
SMALL FORWARD","$981,084"
,,"Luke Babbitt
SMALL FORWARD","$981,084"
327,,"Jon Leuer
POWER FORWARD","$967,500"
328,,"E'Twaun Moore
SHOOTING GUARD","$948,163"
,,"Joey Dorsey
POWER FORWARD","$948,163"
,,"Donald Sloan
POINT GUARD","$948,163"
,,"Greg Smith
CENTER","$948,163"
332,,"Khris Middleton
SMALL FORWARD","$915,243"
,,"Omri Casspi
SMALL FORWARD","$915,243"
,,"Nazr Mohammed
CENTER","$915,243"
,,"Jae Crowder
SMALL FORWARD","$915,243"
,,"Glen Davis
POWER FORWARD","$915,243"
,,"Kyle O'Quinn
CENTER","$915,243"
,,"Wayne Ellington
SHOOTING GUARD","$915,243"
,,"Ronnie Price
POINT GUARD","$915,243"
,,"Jimmer Fredette
POINT GUARD","$915,243"
,,"Robert Sacre
CENTER","$915,243"
,,"Alonzo Gee
SMALL FORWARD","$915,243"
,,"Henry Sims
CENTER","$915,243"
,,"Drew Gooden
POWER FORWARD","$915,243"
,,"Draymond Green
POWER FORWARD","$915,243"
,,"Greg Stiemsma
CENTER","$915,243"
,,"Rodney Stuckey
POINT GUARD","$915,243"
,,"Jeff Taylor
SHOOTING GUARD","$915,243"
,,"Hedo Turkoglu
SMALL FORWARD","$915,243"
,,"Ekpe Udoh
POWER FORWARD","$915,243"
,,"Charlie Villanueva
POWER FORWARD","$915,243"
,,"Ryan Hollins
CENTER","$915,243"
,,"Quincy Acy
SMALL FORWARD","$915,243"
,,"Cole Aldrich
CENTER","$915,243"
,,"Richard Jefferson
SMALL FORWARD","$915,243"
,,"LaVoy Allen
POWER FORWARD","$915,243"
,,"Wesley Johnson
SHOOTING GUARD","$915,243"
,,"James Jones
SHOOTING GUARD","$915,243"
,,"Leandro Barbosa
SHOOTING GUARD","$915,243"
,,"Will Barton
SHOOTING GUARD","$915,243"
,,"Patrick Beverley
POINT GUARD","$915,243"
,,"Matt Bonner
CENTER","$915,243"
,,"Aaron Brooks
POINT GUARD","$915,243"
,,"Shawn Marion
SMALL FORWARD","$915,243"
,,"Jason Maxiell
POWER FORWARD","$915,243"
,,"Rasual Butler
SMALL FORWARD","$915,243"
367,,"Jose Barea
POINT GUARD","$909,859"
368,,"Jerami Grant
SMALL FORWARD","$884,879"
,,"Joe Harris
SHOOTING GUARD","$884,879"
,,"Roy Devyn Marble
SMALL FORWARD","$884,879"
371,,"Robbie Hummel
SMALL FORWARD","$880,000"
372,,"Allen Crabbe
SMALL FORWARD","$862,000"
373,,"Ishmael Smith
POINT GUARD","$861,405"
374,,"Damien Inglis
SMALL FORWARD","$820,000"
375,,"Ian Clark
SHOOTING GUARD","$816,482"
,,"Mike Muscala
POWER FORWARD","$816,482"
,,"Troy Daniels
SHOOTING GUARD","$816,482"
,,"Dewayne Dedmon
CENTER","$816,482"
,,"Matthew Dellavedova
SHOOTING GUARD","$816,482"
,,"Phil Pressey
POINT GUARD","$816,482"
,,"Justin Hamilton
CENTER","$816,482"
,,"Hollis Thompson
SHOOTING GUARD","$816,482"
,,"Justin Holiday
SHOOTING GUARD","$816,482"
,,"Grant Jerrett
POWER FORWARD","$816,482"
,,"Jeff Withey
CENTER","$816,482"
,,"Jerome Jordan
CENTER","$816,482"
,,"Ognjen Kuzmic
CENTER","$816,482"
,,"Ray McCallum
POINT GUARD","$816,482"
,,"Nick Calathes
SHOOTING GUARD","$816,482"
,,"Isaiah Canaan
POINT GUARD","$816,482"
391,,"Hassan Whiteside
CENTER","$769,881"
392,,"Jarnell Stokes
POWER FORWARD","$725,000"
393,,"Dante Cunningham
POWER FORWARD","$716,043"
394,,"Darius Morris
POINT GUARD","$702,756"
395,,"Spencer Dinwiddie
POINT GUARD","$700,000"
396,,"Johnny O'Bryant
CENTER","$600,000"
397,,"Jordan Clarkson
SHOOTING GUARD","$507,336"
,,"Eric Moreland
POWER FORWARD","$507,336"
,,"Cleanthony Early
SMALL FORWARD","$507,336"
,,"Dwight Powell
POWER FORWARD","$507,336"
,,"James Ennis
SMALL FORWARD","$507,336"
,,"Glen Robinson III
SHOOTING GUARD","$507,336"
,,"JaKarr Sampson
SHOOTING GUARD","$507,336"
,,"Russ Smith
POINT GUARD","$507,336"
,,"Erick Green
POINT GUARD","$507,336"
,,"Travis Wear
POWER FORWARD","$507,336"
,,"Joe Ingles
SMALL FORWARD","$507,336"
,,"Shayne Whittington
POWER FORWARD","$507,336"
,,"Corey Jefferson
POWER FORWARD","$507,336"
,,"Nick Johnson
SHOOTING GUARD","$507,336"
,,"Cameron Bairstow
POWER FORWARD","$507,336"
,,"Tarik Black
CENTER","$507,336"
,,"Markel Brown
SHOOTING GUARD","$507,336"
,,"K.J. McDaniels
SHOOTING GUARD","$507,336"
415,,"Lance Thomas
SMALL FORWARD","$409,167"
,,"Louis Amundson
POWER FORWARD","$409,167"
417,,"Dahntay Jones
SMALL FORWARD","$387,632"
418,,"Reggie Williams
SMALL FORWARD","$344,036"
419,,"Amar'e Stoudemire
POWER FORWARD","$306,876"
420,,"Kendrick Perkins
CENTER","$274,573"
421,,"John Lucas III
POINT GUARD","$269,189"
422,,"Lorenzo Brown
POINT GUARD","$268,959"
423,,"Elijah Millsap
SHOOTING GUARD","$241,731"
424,,"Bernard James
CENTER","$236,886"
425,,"Langston Galloway
POINT GUARD","$235,762"
426,,"Tyler Johnson
SHOOTING GUARD","$199,950"
427,,"Henry Walker
POINT GUARD","$196,217"
428,,"Michael Beasley
SMALL FORWARD","$195,440"
429,,"Quincy Miller
SMALL FORWARD","$183,049"
,,"Earl Barron
POWER FORWARD","$183,049"
431,,"James McAdoo
SMALL FORWARD","$167,122"
432,,"Jordan Hamilton
SMALL FORWARD","$150,591"
433,,"Toney Douglas
SHOOTING GUARD","$143,870"
434,,"JaMychal Green
POWER FORWARD","$134,295"
435,,"Christapher Johnson
SMALL FORWARD","$113,059"
436,,"Bryce Cotton
POINT GUARD","$92,514"
437,,"Will Bynum
POINT GUARD","$72,234"
438,,"Jack Cooley
POWER FORWARD","$62,671"
439,,"Earl Clark
SMALL FORWARD","$62,552"
,,"Austin Daye
POWER FORWARD","$62,552"
441,,"Greg Smith
CENTER","$55,722"
442,,"Quincy Miller
SMALL FORWARD","$53,838"
,,"Quincy Miller
SMALL FORWARD","$53,838"
,,"Quincy Miller
SMALL FORWARD","$53,838"
,,"Quincy Miller
SMALL FORWARD","$53,838"
,,"Earl Clark
SMALL FORWARD","$53,838"
,,"Austin Daye
POWER FORWARD","$53,838"
,,"Toney Douglas
SHOOTING GUARD","$53,838"
,,"Toney Douglas
SHOOTING GUARD","$53,838"
,,"A.J. Price
POINT GUARD","$53,838"
,,"Nate Robinson
POINT GUARD","$53,838"
,,"Nate Robinson
POINT GUARD","$53,838"
,,"Jordan Hamilton
SMALL FORWARD","$53,838"
,,"Jordan Hamilton
SMALL FORWARD","$53,838"
,,"Lance Thomas
SMALL FORWARD","$53,838"
,,"Lance Thomas
SMALL FORWARD","$53,838"
,,"Tyrus Thomas
POWER FORWARD","$53,838"
,,"Henry Walker
POINT GUARD","$53,838"
,,"Henry Walker
POINT GUARD","$53,838"
,,"Lester Hudson
POINT GUARD","$53,838"
,,"Bernard James
CENTER","$53,838"
,,"Bernard James
CENTER","$53,838"
,,"Reggie Williams
SMALL FORWARD","$53,838"
,,"Reggie Williams
SMALL FORWARD","$53,838"
,,"Louis Amundson
POWER FORWARD","$53,838"
,,"Louis Amundson
POWER FORWARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Elliot Williams
SHOOTING GUARD","$53,838"
,,"Christapher Johnson
SMALL FORWARD","$53,838"
,,"Christapher Johnson
SMALL FORWARD","$53,838"
,,"Christapher Johnson
SMALL FORWARD","$53,838"
,,"Dahntay Jones
SMALL FORWARD","$53,838"
,,"Dahntay Jones
SMALL FORWARD","$53,838"
,,"Earl Barron
POWER FORWARD","$53,838"
,,"Earl Barron
POWER FORWARD","$53,838"
,,"Michael Beasley
SMALL FORWARD","$53,838"
,,"Michael Beasley
SMALL FORWARD","$53,838"
,,"John Lucas III
POINT GUARD","$53,838"
,,"John Lucas III
POINT GUARD","$53,838"
,,"Kenyon Martin
POWER FORWARD","$53,838"
,,"Kenyon Martin
POWER FORWARD","$53,838"
,,"Will Bynum
POINT GUARD","$53,838"
,,"Jerel McNeal
POINT GUARD","$53,838"
487,,"Tim Frazier
POINT GUARD","$50,734"
488,,"Toure Murry
SMALL FORWARD","$48,028"
,,"Toure Murry
SMALL FORWARD","$48,028"
,,"Seth Curry
SHOOTING GUARD","$48,028"
,,"Miroslav Raduljica
CENTER","$48,028"
,,"Miroslav Raduljica
CENTER","$48,028"
,,"Jorge Gutierrez
POINT GUARD","$48,028"
,,"Jorge Gutierrez
POINT GUARD","$48,028"
,,"Nate Wolters
POINT GUARD","$48,028"
,,"Nate Wolters
POINT GUARD","$48,028"
,,"Chris Babb
SHOOTING GUARD","$48,028"
,,"Ricky Ledo
SHOOTING GUARD","$48,028"
,,"Ricky Ledo
SHOOTING GUARD","$48,028"
,,"Lorenzo Brown
POINT GUARD","$48,028"
,,"Lorenzo Brown
POINT GUARD","$48,028"
,,"Dwight Buycks
POINT GUARD","$48,028"
503,,"Jabari Brown
SHOOTING GUARD","$44,765"
504,,"Arinze Onuaku
POWER FORWARD","$43,226"
,,"Jorge Gutierrez
POINT GUARD","$43,226"
506,,"Ricky Ledo
SHOOTING GUARD","$38,423"
507,,"Elijah Millsap
SHOOTING GUARD","$29,843"
,,"Elijah Millsap
SHOOTING GUARD","$29,843"
,,"Jack Cooley
POWER FORWARD","$29,843"
,,"Jack Cooley
POWER FORWARD","$29,843"
,,"Bryce Cotton
POINT GUARD","$29,843"
,,"Bryce Cotton
POINT GUARD","$29,843"
,,"Andre Dawkins
SHOOTING GUARD","$29,843"
,,"Andre Dawkins
SHOOTING GUARD","$29,843"
,,"Larry Drew II
POINT GUARD","$29,843"
,,"Larry Drew II
POINT GUARD","$29,843"
,,"Jarell Eddie
SMALL FORWARD","$29,843"
,,"Tim Frazier
POINT GUARD","$29,843"
,,"Tim Frazier
POINT GUARD","$29,843"
,,"Langston Galloway
POINT GUARD","$29,843"
,,"Langston Galloway
POINT GUARD","$29,843"
,,"JaMychal Green
POWER FORWARD","$29,843"
,,"JaMychal Green
POWER FORWARD","$29,843"
,,"JaMychal Green
POWER FORWARD","$29,843"
,,"David Stockton
POINT GUARD","$29,843"
,,"David Wear
POWER FORWARD","$29,843"
,,"Tyler Johnson
SHOOTING GUARD","$29,843"
,,"Tyler Johnson
SHOOTING GUARD","$29,843"
,,"Sean Kilpatrick
SHOOTING GUARD","$29,843"
,,"Jerrelle Benimon
POWER FORWARD","$29,843"
,,"Sim Bhullar
CENTER","$29,843"
,,"Jabari Brown
SHOOTING GUARD","$29,843"
,,"Jabari Brown
SHOOTING GUARD","$29,843"
,,"James McAdoo
SMALL FORWARD","$29,843"
,,"James McAdoo
SMALL FORWARD","$29,843"
536,,"Lester Hudson
POINT GUARD","$27,887"
537,,"Jerel McNeal
POINT GUARD","$26,919"
538,,"Jamaal Franklin
SHOOTING GUARD","$19,211"
539,,"Vander Blue
SHOOTING GUARD","$14,409"
540,,"David Stockton
POINT GUARD","$11,937"